id,6055007@德文法學名著選讀（一）@1@1,6055082@商事法專題研究－國際海事法@1@1,6055100@社會法專題研究（三）@1@1,6055103@憲法專題研究－基本人權（一）@1@1,6055175@勞動法專題研究（一）@1@1,6055197@勞動法專論選讀與論文寫作（二）@1@1,6055211@行政法專題研究－行政救濟法（一）@1@1,6055310@法學英文（三）@1@1,6055320@民法專題研究（財產法）（四）@1@1,6055325@民事程序法專題研究（民事訴訟法）（一）@1@1,6055328@民法專題研究（財產法）（七）@1@1,6055345@法學日文（一）@1@1,6055376@國際私法專題研究－涉外民事訴訟之理論與實務@1@1,6055386@民事特別法專題研究（四）－土地法@1@1,6055437@憲法理論與實務專題研究（一）@1@1,6055101@社會法專題研究（一）@2@1,6055104@憲法專題研究－基本人權（二）@2@1,6055212@行政法專題研究－行政救濟法（二）@2@1,6055242@憲法訴訟專題研究（二）@2@1,6055346@法學日文（二）@2@1,6055370@美國憲法專題研究（二）@2@1,6055411@行政法基礎理論與行政組織法專題研究（二）@2@1,6055430@國家賠償法之理論與實務專題研究@2@1,6055438@憲法理論與實務專題研究（二）@2@1,6055542@公法理論與實務專題研究（一）－憲法與行政法之整合@1@1,6055106@憲法專題研究－政府組織（二）@2@1,6055144@刑事政策專題研究（一）@2@1,6055147@刑事政策專題研究（二）@1@1,6055380@民事特別法專題研究（一）－信託法@1@1,6055504@刑事法學專題研究（三）@1@1,6055563@法院實習（一）@1@1,6055564@法院實習（二）@2@1,6055013@日文法學名著選讀（一）@1@1,6055020@法律的經濟分析@1@1,6055079@民法專題研究（九）－法律人類學概論@1@1,6055109@行政法專題研究－行政作用法（一）@1@1,6055134@刑法基礎理論專題研究（三）@1@1,6055145@刑事證據法專題研究（一）@1@1,6055207@國際公法基礎理論之研究（一）@1@1,6055217@憲法訴訟專題研究（一）@1@1,6055247@憲法基礎理論專題研究（一）@1@1,6055322@民法專題研究（財產法）（六）@1@1,6055343@法學德文（一）@1@1,6055382@民事特別法專題研究（二）－國際民事訴訟法@1@1,6055384@民事特別法專題研究（三）－涉外民事法律關係（一）@1@1,6055389@民事特別法專題研究（七）－比較公司治理@1@1,6055403@行政法基礎理論與行政組織法專題研究（一）@1@1,6055465@法理學專題研究（一）@1@1,6055561@法院實習（一）@1@1,6055702@民法專題研究（身分法）（三）@1@1,6058057@條約法專題研究（五）@1@1,6055127@刑法基礎理論專題研究（一）@2@1,6055130@刑法競合論專題研究（二）@2@1,6055148@刑事證據法專題研究（二）@2@1,6055156@刑事訴訟法專題研究（二）@2@1,6055176@勞動法專題研究（二）@2@1,6055208@國際公法基礎理論之研究（二）@2@1,6055213@行政法專題研究－行政作用法（二）@2@1,6055248@憲法基礎理論專題研究（二）@2@1,6055318@民法專題研究（財產法）（二）@2@1,6055326@民事程序法專題研究（民事訴訟法）（二）@2@1,6055344@法學德文（二）@2@1,6055353@法學英文（四）@2@1,6055357@日文法學名著選讀（二）@2@1,6055374@國際私法專題研究@2@1,6055394@民事特別法專題研究（十三）－涉外身分爭訟之理論與實務@2@1,6055456@法律與文學專題研究（一）@2@1,6055466@法理學專題研究（二）@2@1,6055470@性別與法律專題研究@2@1,6055506@刑事法學專題研究@2@1,6055711@國際智慧財產權訴訟之理論與實務@2@1,6058058@條約法專題研究（六）@2@1,6055085@商事法專題研究（一）@1@1,6055101@社會法專題研究（一）@1@1,6055105@憲法專題研究－政府組織（一）@1@1,6055128@刑法基礎理論專題研究（二）@1@1,6055129@刑法競合論專題研究（一）@1@1,6055155@刑事訴訟法專題研究（一）@1@1,6055183@勞動法專題研究（三）@1@1,6055196@勞動法專論選讀與論文寫作（一）@1@1,6055323@民法專題研究（身分法）（一）@1@1,6055392@民事特別法專題研究（十）－涉外民事訴訟之理論與實務（一）@1@1,6055440@國際環境法專題研究（一）@1@1,6055442@涉外智慧財產權之比較法專題研究@1@1,6055507@刑事法學專題研究（一）@1@1,6055540@憲法專題研究－基本人權（三）@1@1,6055086@商事法專題研究（二）@2@1,6055090@商事法專題研究（保險法）@2@1,6055102@社會法專題研究（二）@2@1,6055140@刑法基礎理論專題研究（四）@2@1,6055184@勞動法專題研究（四）@2@1,6055311@法學英文（二）@2@1,6055319@民法專題研究（財產法）（三）@2@1,6055324@民法專題研究（身分法）（二）@2@1,6055375@國際私法專題研究－涉外身分爭訟之理論與實務@2@1,6055441@國際環境法專題研究（二）@2@1,6055490@法律資訊與多元社會專題研究@2@1,6055501@刑事法學專題研究（二）@2@1,6055543@公法理論與實務專題研究（二）－憲法與行政法之整合@2@1
698605031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,86,NaN,90,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,92,NaN,NaN,NaN,NaN,NaN
698605032,92,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,90,NaN,NaN,NaN,91,NaN,NaN,90,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,80,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,88,NaN,NaN,NaN,94,NaN,NaN,87,NaN,85,NaN,NaN,NaN,NaN,78,80,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
698605042,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,94,NaN,90,NaN,NaN,NaN,NaN,92,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,85,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,86,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93
698605045,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,93,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,85,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,89,85,89,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,87,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605048,NaN,NaN,NaN,NaN,NaN,NaN,92,79,NaN,92,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,90,84,NaN,NaN,NaN,93,NaN,NaN,87,NaN,86,NaN,NaN,NaN,NaN,91,91,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605051,NaN,NaN,NaN,NaN,83,NaN,93,84,NaN,93,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,93,NaN,86,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
698605044,88,NaN,NaN,87,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,88,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,88,NaN,89,NaN,NaN,NaN,NaN,88,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,86,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605021,NaN,NaN,92,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,85,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,87,NaN,87,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,84,89,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605049,NaN,NaN,92,NaN,95,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,87,NaN,NaN,NaN,91,NaN,NaN,NaN,84,88,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,92,87,NaN,NaN,90,NaN,NaN,NaN,NaN
698605036,NaN,NaN,NaN,86,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,78,90,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,83,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605046,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,88,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605025,88,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,91,86,NaN,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605040,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,89,NaN,NaN,91,NaN,NaN,91,NaN,85,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,87,85,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,86,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92
698605043,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,86,NaN,NaN,92,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,88,NaN,86,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,88,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,86,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93
698605019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,86,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN
698605024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,88,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,89,85,88,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN
698605026,NaN,NaN,NaN,NaN,97,NaN,94,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,86,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,88,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,88,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,85,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,NaN,NaN,89,87,88,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN
698605011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,90,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,93,NaN,NaN,92,NaN,NaN,NaN,NaN,94,NaN,NaN,87,NaN,87,NaN,NaN,NaN,NaN,83,92,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698605017,NaN,NaN,NaN,NaN,95,NaN,93,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,94,NaN,92,NaN,82,NaN,NaN,92,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,92,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93
698605018,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,86,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,86,86,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN
698605030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,89,85,NaN,NaN,90,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,95,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
698605033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93,91,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
